,GENE00,GENE01,GENE02,GENE03,GENE04,GENE05,GENE06,GENE07,GENE08,GENE09,GENE10,GENE11,GENE12,GENE13,GENE14,GENE15,GENE16,GENE17,GENE18,GENE19
GENE00,0.0,0.7241769072405895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE01,0.7241769072405895,0.0,0.9209342585905423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE02,0.0,0.9209342585905423,0.0,0.7833477724462676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE03,0.0,0.0,0.7833477724462676,0.0,0.8789576061849713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE04,0.0,0.0,0.0,0.8789576061849713,0.0,0.8237160520797976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE05,0.0,0.0,0.0,0.0,0.8237160520797976,0.0,0.615630894519011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE06,0.0,0.0,0.0,0.0,0.0,0.615630894519011,0.0,0.8933053846504533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE07,0.0,0.0,0.0,0.0,0.0,0.0,0.8933053846504533,0.0,0.8029833877235846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8029833877235846,0.0,0.7331396821472465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7331396821472465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759658916129674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759658916129674,0.0,0.7872602870805084,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GENE12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872602870805084,0.0,0.6144987125486416,0.0,0.0,0.0,0.0,0.0,0.0
GENE13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6144987125486416,0.0,0.6828430104119965,0.0,0.0,0.0,0.0,0.0
GENE14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6828430104119965,0.0,0.8532806667032389,0.0,0.0,0.0,0.0
GENE15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8532806667032389,0.0,0.9004595965972593,0.0,0.0,0.0
GENE16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9004595965972593,0.0,0.72218240713647,0.0,0.0
GENE17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72218240713647,0.0,0.7341822140083492,0.0
GENE18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7341822140083492,0.0,0.7787301066794656
GENE19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7787301066794656,0.0
