gene_symbol	Ctrl
A1BG	5.383693513513513
A1BG-AS1	5.317111621621621
A1CF	5.152251351351351
A2M	5.063155675675676
A2MP1	5.337810810810811
A4GALT	6.215864864864865
A4GNT	5.2854040540540534
AA06	5.278188108108108
AAAS	6.856557567567566
AACS	6.777720540540541
AADAC	4.767277297297298
AADACL2	3.4945635135135134
AADAT	4.71648027027027
AAED1	6.760407837837837
AAGAB	7.034941621621622
AAK1	9.21235243243243
AAMDC	5.931538918918919
AAMP	8.301703243243246
AANAT	4.29917864864865
AAR2	7.6242018918918895
AARS	8.128020810810813
AARS2	6.5572497297297305
AARSD1	6.120159459459461
AASDH	7.292286756756758
AASDHPPT	7.953102702702701
AASS	4.062662702702702
AATF	8.466666756756757
AATK	8.462701351351352
AB074162	6.142994864864864
AB488780	6.688422432432432
ABAT	8.514111351351351
ABCA1	8.259174864864866
ABCA11P	4.887068918918918
ABCA12	3.5897016216216215
ABCA17P	4.309106756756757
ABCA2	6.8033794594594585
ABCA3	6.220111891891891
ABCA4	5.216177027027027
ABCA5	7.275223783783783
ABCA6	3.8639175675675688
ABCA7	7.278527837837837
ABCA8	3.543508648648649
ABCA9	3.708277297297297
ABCB1	6.077871891891892
ABCB10	7.963236486486485
ABCB11	3.8330340540540546
ABCB4	5.041601081081082
ABCB5	4.06466027027027
ABCB6	4.893293783783784
ABCB7	7.637933513513512
ABCB8	5.41569027027027
ABCB9	5.1770427027027015
ABCC1	6.2909343243243265
ABCC10	8.136655945945948
ABCC11	3.9308608108108114
ABCC13	4.5481818918918915
ABCC2	5.288051891891891
ABCC3	6.94910945945946
ABCC4	6.154165405405406
ABCC5	7.0808940540540535
ABCC6	6.037452702702703
ABCC6P1	4.1064281081081075
ABCC8	5.434785405405407
ABCC9	4.507547837837837
ABCD1	6.629250810810811
ABCD1P2	5.4233808108108095
ABCD2	3.8773864864864875
ABCD3	8.265159999999998
ABCD4	6.9311264864864865
ABCE1	7.616670810810811
ABCF1	8.17814081081081
ABCF2	6.354692162162162
ABCF3	7.158373513513514
ABCG1	7.109974594594594
ABCG2	4.568513243243243
ABCG4	6.019862432432432
ABCG5	4.498575945945946
ABCG8	5.113045405405406
ABHD1	6.081584324324322
ABHD10	8.406837837837838
ABHD11	7.119557837837837
ABHD12	5.977853513513513
ABHD12B	3.6010083783783777
ABHD13	5.59687891891892
ABHD14A	6.994771351351349
ABHD14A-ACY1	6.66237837837838
ABHD14B	7.762474054054055
ABHD15	6.3055572972973
ABHD16A	7.70438162162162
ABHD16B	4.823408108108107
ABHD17A	10.027363513513517
ABHD17B	9.061518108108107
ABHD17C	5.418786486486487
ABHD2	6.340632432432432
ABHD3	10.426205135135135
ABHD4	5.916074324324324
ABHD5	7.539865405405406
ABHD6	5.74200864864865
ABHD8	5.387582432432433
ABI1	9.357975945945944
ABI2	7.670686756756757
ABI3	7.72280027027027
ABI3BP	3.7720378378378374
ABL1	7.286015405405405
ABL2	6.425043513513515
ABLIM1	9.808302972972976
ABLIM2	5.96070108108108
ABLIM3	5.716163243243245
ABO	5.238746486486487
ABPARTS	6.885775135135137
ABR	5.871244054054054
ABRACL	9.737039189189188
ABT1	7.408575675675677
ABTB1	6.657532432432433
ABTB2	5.379144054054055
AC000111.3	2.9664916216216217
AC002059.10	5.64545135135135
AC002310.7	4.770615135135134
AC003973.4	4.1376259459459455
AC003989.4	5.387955945945945
AC004490.1	4.3084818918918915
AC004692.5	7.608384594594596
AC004941.5	7.166185945945946
AC005162.4	5.836515945945948
AC005256.1	6.036652162162162
AC005306.3	6.725179189189189
AC005498.3	4.589607567567569
AC005523.2	6.0853797297297305
AC005523.3	5.678934054054055
AC005592.3	4.207777567567568
AC005606.14	4.19544
AC005754.7	3.866393243243243
AC005838.2	4.8622413513513525
AC006026.13	5.062741081081081
AC006129.2	4.84754027027027
AC006538.1	3.863527837837838
AC007292.3	6.437007837837838
AC007362.3	4.609836486486486
AC007364.1	4.264945405405407
AC007365.3	5.501198648648649
AC007389.3	6.497795675675675
AC007401.2	5.6506786486486495
AC007680.2	4.637728648648649
AC007967.3	6.412491621621622
AC008088.4	4.616210540540541
AC008746.12	5.062117297297297
AC008753.4	5.803913513513514
AC009120.6	6.989114594594595
AC009133.15	5.342054324324326
AC009237.8	4.80146243243243
AC009947.3	4.050204594594597
AC010145.3	4.987304054054054
AC010145.4	4.941612702702702
AC010980.2	3.959857567567568
AC012065.7	5.546063243243243
AC012499.1	4.211502432432433
AC013463.2	4.262167027027027
AC016831.7	4.91453837837838
AC016999.2	4.960867567567568
AC018462.2	4.167653243243242
AC018755.16	6.235075675675674
AC018766.6	4.913356216216217
AC018816.3	5.95885027027027
AC024560.2	5.381227297297298
AC025442.3	5.18107108108108
AC064852.4	3.7659343243243244
AC068039.4	6.264955135135135
AC068831.3	5.17266
AC073283.7	6.010990540540539
AC074212.6	5.391587837837838
AC078883.3	5.321799729729728
AC079305.10	5.376335135135133
AC079741.2	4.036540540540542
AC079767.4	5.157307027027028
AC083843.1	3.9474181081081086
AC083949.1	5.625615135135136
AC084219.3	4.300616756756758
AC087501.1	3.282390000000001
AC091133.1	6.778158108108109
AC091633.3	3.4997637837837843
AC092620.2	8.141580270270268
AC092660.1	5.560382432432433
AC099684.1	3.9418843243243247
AC100830.4	4.7608013513513505
AC104537.2	4.30617756756757
AC106801.1	6.447322432432432
AC108056.1	4.299349729729729
AC112198.1	4.665126486486486
AC114730.11	4.177861621621621
AC128677.4	7.523777027027026
AC136289.1	3.3391643243243245
AC139100.2	5.808485135135134
AC141928.1	5.819961621621621
AC144652.1	6.354603243243242
AC145343.2	4.82909081081081
ACAA1	8.655166486486486
ACAA2	8.11734918918919
ACACA	6.842088378378379
ACACB	6.465204324324324
ACAD10	5.166516486486486
ACAD11	6.9664
ACAD8	6.218236756756757
ACAD9	7.291889999999998
ACADL	4.123198108108108
ACADM	8.310112702702705
ACADS	6.507403243243246
ACADSB	7.219986216216219
ACADVL	8.810930270270273
ACAN	6.436967567567567
ACAP1	8.316745675675673
ACAP2	5.6824
ACAP3	7.056676216216218
ACAT1	8.150994054054053
ACAT2	6.930468648648649
ACBD3	6.539714054054054
ACBD4	6.795540000000001
ACBD5	9.20265054054054
ACBD6	6.937566486486486
ACCS	7.193380270270272
ACD	7.598873783783785
ACE	5.563876486486489
ACE2	3.584747297297297
ACER3	6.411473243243243
ACHE	5.653279189189189
ACIN1	6.745224594594595
ACKR1	5.2023008108108115
ACKR2	5.596157027027025
ACKR3	5.871768108108109
ACKR4	3.837514864864864
ACLY	7.66737081081081
ACMSD	4.4203259459459465
ACN9	6.101969729729731
ACO1	6.394382162162163
ACO2	8.32745864864865
ACOT1	5.001171081081082
ACOT11	6.251393243243245
ACOT12	3.265333513513515
ACOT13	6.763017027027027
ACOT4	4.9750554054054055
ACOT6	3.7442624324324316
ACOT7	5.909835135135134
ACOT8	7.120855675675675
ACOT9	8.910351891891892
ACOX1	8.20782972972973
ACOX2	4.599689999999998
ACOX3	5.989514864864867
ACOXL	5.238379729729731
ACP1	9.372251891891894
ACP2	7.206164594594594
ACP5	7.195838378378378
ACP6	7.161522432432433
ACPP	7.592503243243243
ACPT	6.583067837837839
ACR	5.370375945945947
ACRBP	6.882270270270272
ACRC	6.626920810810812
ACRV1	5.645369459459459
ACSBG1	4.819680810810812
ACSBG2	5.200270540540541
ACSF2	6.162946756756757
ACSF3	6.470268648648649
ACSL1	10.250044324324326
ACSL3	7.895118378378381
ACSL4	7.420719189189187
ACSL5	8.035287297297298
ACSL6	5.116231351351351
ACSM1	4.549574864864865
ACSM2A	3.4103910810810816
ACSM2B	4.079633243243244
ACSM3	5.111302972972972
ACSM5	5.377179729729731
ACSS1	5.475082432432433
ACSS2	7.741953513513514
ACSS3	4.87334972972973
ACTA1	4.503560810810811
ACTA2	7.048982972972974
ACTB	13.86875081081081
ACTBP9	8.02096108108108
ACTC1	6.64306918918919
ACTG1P4	7.271967567567569
ACTG2	5.847021081081081
ACTL10	5.730347297297298
ACTL6A	7.196738648648649
ACTL6B	5.5320359459459425
ACTL7A	5.759607837837836
ACTL7B	5.008478108108107
ACTL8	6.151565675675677
ACTL9	4.336459999999999
ACTN1	9.267521351351352
ACTN2	6.027575675675676
ACTN3	5.081654054054052
ACTN4	8.77591108108108
ACTR10	10.207555405405405
ACTR1A	7.598506486486485
ACTR1B	7.738503243243243
ACTR2	9.953084324324324
ACTR3	6.040454324324324
