"pathway_id","pathway_description","NES","p.adjust","direction","n_core_genes","n_ko_hits","ko_genes_hit","ko_ranks_hit","ko_scores_hit","ko_modules_hit"
"GO:0002478","antigen processing and presentation of exogenous peptide antigen",2.39051062991412,3.0690828580013e-07,"activated",30,1,"IKBKB","39","1.464","signalling"
"GO:0019884","antigen processing and presentation of exogenous antigen",2.3876832262972,6.60058023152117e-07,"activated",36,1,"IKBKB","39","1.464","signalling"
"GO:0048002","antigen processing and presentation of peptide antigen",2.38415896072741,3.88262398176805e-08,"activated",41,1,"IKBKB","39","1.464","signalling"
"GO:0019882","antigen processing and presentation",2.32862249427727,1.16320754716981e-08,"activated",61,1,"IKBKB","39","1.464","signalling"
"GO:0002223","stimulatory C-type lectin receptor signaling pathway",2.29222889032389,7.5204103403543e-06,"activated",16,2,"IKBKB; KLRD1","39; 45","1.464; 1.32","signalling; immune"
"GO:1990840","response to lectin",2.29222889032389,7.5204103403543e-06,"activated",16,2,"IKBKB; KLRD1","39; 45","1.464; 1.32","signalling; immune"
"GO:1990858","cellular response to lectin",2.29222889032389,7.5204103403543e-06,"activated",16,2,"IKBKB; KLRD1","39; 45","1.464; 1.32","signalling; immune"
"GO:0031341","regulation of cell killing",2.2922204549509,4.36305738944635e-08,"activated",55,2,"PRF1; KLRD1","2; 45","3.151; 1.32","immune; immune"
"GO:0002456","T cell mediated immunity",2.24570299542953,2.3226549367132e-08,"activated",67,3,"PRF1; KLRD1; CD46","2; 45; 63","3.151; 1.32; 1.069","immune; immune; uncharacterised"
"GO:0031343","positive regulation of cell killing",2.22718976448332,1.63695110479705e-06,"activated",39,2,"PRF1; KLRD1","2; 45","3.151; 1.32","immune; immune"
"GO:0038093","Fc receptor signaling pathway",2.211113882915,1.28469901757732e-05,"activated",35,1,"IKBKB","39","1.464","signalling"
"GO:0002715","regulation of natural killer cell mediated immunity",2.2009831465261,2.68905114201984e-05,"activated",25,1,"KLRD1","45","1.32","immune"
