"gene","t_statistic"
"FOS",23.5400655386822
"OTX1",19.6039192346535
"BTG2",19.5829808355877
"ATG2A",18.1005525988184
"PDE4B",17.7603073457967
"MBOAT7",17.4242623091285
"MEGF6",17.0341319083319
"TSEN34",16.9710871525462
"SYTL3",16.8252839408534
"CDC42EP2",16.5303785251813
"TMCC1",16.4568740950819
"XLOC_008678",16.2609791240676
"PTGS2",16.1899672097755
"PELI1",16.0802800565934
"GRAMD1C",15.7888429538672
"NSMAF",15.7342074999198
"TREM1",15.7171605074745
"PLA2G7",15.5160852763552
"PPP1R12B",15.3875605458983
"GAB2",15.3829852886512
"PITPNA",15.3567447460738
"PRDM8",15.2562901958552
"RNF216P1",15.0296854347099
"FAM174A",15.0227297045328
"TLE3",14.7852261925498
"CNTNAP3",14.7734215581081
"NLRP1",14.7167119500575
"KIAA0226L",14.6752130894566
"VPS37C",14.6426069667237
"PHF1",14.6065719818386
"SCARNA10",14.5831984700642
"NDEL1",14.4696973802251
"LOC254896",14.4362057130432
"NEAT1",14.3673966594241
"LOC100288018",14.3032899931848
"MIDN",14.25005503637
"TBC1D14",14.2421315512753
"IL13RA1",14.2282952227745
"G0S2",14.1747165842677
"CHSY1",14.1664267343626
"PHACTR1",14.1444641545216
"DUSP1",14.1088429639859
"ZNF200",14.0540462027142
"AMPD2",14.043154932384
"LOC100506914",13.9569658128178
"LOC100507006",13.8723908973184
"IQSEC1",13.8081755704674
"XKR8",13.7723195668678
"ARHGEF40",13.7665949187031
"BEST1",13.7663174697892
"TMEM184B",13.7375057775617
"F11R",13.7000614901238
"ATP2B1",13.6092007950565
"KIAA1257",13.5926516919417
"HIVEP1",13.5224824337722
"MYBPH",13.5145917783763
"SIPA1L1",13.5097768708916
"NOV",13.4774428923975
"CEBPB",13.4506278856008
"C7orf74",13.3388347473741
"IL1RAP",13.2595148513501
"FRMD8",13.2380896973305
"SPAG9",13.1835601552221
"CXCL1",13.1705989729832
"PRIC285",13.1286946868111
"RGS2",13.0481565220338
"C8orf44-SGK3",12.9661050589076
"RNF44",12.9634321118393
"LOC283575",12.9607212080012
"THBD",12.9036579469957
"MTHFS",12.8615804634998
"CDK11A",12.8347420882326
"DNAJB6",12.8087359949499
"CSRNP1",12.7672331463273
"TPR",12.7537412350908
"SPATA2L",12.7395022808912
"LOC100129322",12.7373468515343
"TXNIP",12.7275773185001
"XLOC_008828",12.6924309928456
"SNORA2B",12.6809251700223
"PID1",12.6382675743573
"LRWD1",12.6233574620338
"KDM4B",12.6063518396675
"ASPRV1",12.5815685931755
"XLOC_011080",12.5610985168039
"RPGRIP1",12.5210947963334
"KCNK7",12.5153559279116
"LOC100505487",12.4927008178384
"HIST1H3C",12.4836058913662
"CASS4",12.4765883158886
"NR2C2",12.4589511209425
"HIVEP2",12.4095101410112
"SF3A1",12.3984104526167
"BTG1",12.3963614875778
"LOC442132",12.3441174847043
"HARS2",12.3430720675571
"UNKL",12.3311080135147
"FOXJ3",12.32728871639
"VNN3",12.3106908711119
"LOC389765",12.3005253504923
"PHC2",12.2961203028673
"TOX4",12.2559508306064
"MPZL2",12.2486830561047
"SNORA46",12.2382318281338
"ELL",12.1984213550339
"C12orf35",12.1945971911649
"SHROOM4",12.1736008886494
"AHCTF1",12.1470050483555
"ERGIC1",12.1248439257807
"TIGD3",12.1190926562926
"BIN3",12.1038621701689
"CHD2",12.0702260084911
"SULF2",12.0535205388891
"PSMD10",12.0116891806137
"SNORA61",12.010881206809
"SCARNA16",12.0086890617181
"PHIP",11.9858463933117
"LOC282997",11.9841705461654
"CWC25",11.962593994663
"ATXN1L",11.9595204877639
"PANX2",11.903051725524
"TRIB1",11.8967202440367
"NEDD9",11.8927985671569
"XLOC_l2_007456",11.8777266893451
"SNORA23",11.8641673579991
"SNORA21",11.8119260842482
"ABHD2",11.7657641746538
"FOSB",11.739430620371
"PTP4A1",11.7344942246771
"ARID5A",11.7304831856405
"LOC399900",11.727951384447
"CHST15",11.7198385799386
"SLC45A4",11.7189709653329
"C15orf39",11.7081163975526
"ZSCAN18",11.7038691196942
"DUSP6",11.6594724003239
"HIF1A",11.6590947027536
"LOC729609",11.6418532461588
"PDE3B",11.6363685108943
"VMP1",11.6325349808247
"XLOC_l2_014423",11.629119761438
"RBM43",11.6047500403643
"LOC731424",11.5972515210049
"LOC647070",11.5898637655065
"IGANRP",11.5600250851573
"SNORA1",11.5239684652255
"PPP1R15B",11.495838313857
"LOC728392",11.4766210168357
"RPA2",11.4749099224488
"KIAA0247",11.4736665423717
"ARFIP1",11.4719973127691
"SLC2A6",11.470329742759
"CBX7",11.4684653790048
"XLOC_l2_013189",11.4593712385449
"DDIT3",11.4432273948311
"EMR3",11.3855729976008
"ZFYVE27",11.3635060855622
"PRKD2",11.3625071030877
"UBN1",11.3602044907039
"KRBA2",11.3580723164457
"BCL3",11.3489490449495
"LOC391767",11.330918247098
"IRS2",11.3205333236727
"WDR82",11.2889005873746
"SNORD83B",11.286175955727
"C14orf135",11.2600252362914
"GPR77",11.2554792861569
"ZNF274",11.2304792662151
"GJD4",11.2258444172405
"SLED1",11.2177718310837
"HECW2",11.1999368146351
"C20orf43",11.195424387579
"LRP2",11.19454934555
"RBM23",11.1928635640109
"VENTX",11.1846358307325
"TRPC4AP",11.1845407395011
"LOC100506606",11.1710447802005
"GPR155",11.1694750560925
"SMAP2",11.153011616544
"SNORA4",11.137621809499
"DHRSX",11.1309132026528
"XLOC_011728",11.0931118145564
"LOC284373",11.0840667404193
"HCG27",11.0786353661289
"CAMK1D",11.0773989124161
"XLOC_l2_013931",11.0468345831006
"HAL",11.0275744994106
"LOC401480",11.0046895196428
"LOC285286",11.0010964617789
