"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042773","ATP synthesis coupled electron transport",91,-0.78179118473755,-2.92692902618111,1e-10,1.16320754716981e-08,8.77457795431976e-09,3630,"tags=66%, list=11%, signal=59%","NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/UQCRFS1/COX6C/NDUFS3/NDUFA8/NDUFB8/ND2/COX3/COX7A2L/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/NDUFS8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/GHITM/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/PINK1/CCNB1/COX6A1/CDK1/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",91,-0.78179118473755,-2.92692902618111,1e-10,1.16320754716981e-08,8.77457795431976e-09,3630,"tags=66%, list=11%, signal=59%","NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/UQCRFS1/COX6C/NDUFS3/NDUFA8/NDUFB8/ND2/COX3/COX7A2L/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/NDUFS8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/GHITM/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/PINK1/CCNB1/COX6A1/CDK1/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0019646","aerobic electron transport chain",84,-0.78145862942974,-2.89161961704114,1e-10,1.16320754716981e-08,8.77457795431976e-09,3630,"tags=67%, list=11%, signal=59%","NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/UQCRFS1/COX6C/NDUFS3/NDUFA8/NDUFB8/ND2/COX3/COX7A2L/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/NDUFS8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/PINK1/COX6A1/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0006119","oxidative phosphorylation",117,-0.743009728543436,-2.88928994535493,1e-10,1.16320754716981e-08,8.77457795431976e-09,4142,"tags=62%, list=13%, signal=55%","ND6/ATP6/ND5/NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/UQCRFS1/COX6C/SHMT2/NDUFS3/NDUFA8/SLC25A33/NDUFB8/COX6B2/ND2/MSH2/COX3/COX7A2L/FXN/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/NDUFS8/ATP8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/GHITM/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFA11/NDUFV3/NDUFV2/PINK1/NDUFA13/CCNB1/COX6A1/STOML2/CDK1/NDUFB11/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0022904","respiratory electron transport chain",112,-0.723477172028281,-2.80186941745758,1e-10,1.16320754716981e-08,8.77457795431976e-09,3630,"tags=57%, list=11%, signal=51%","NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/MDH1/UQCRFS1/COX6C/NDUFS3/NDUFA8/NDUFB8/ETFB/ND2/COX3/COX7A2L/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/HCCS/NDUFS8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/GHITM/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/ETFA/PINK1/CCNB1/COX6A1/CDK1/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0022900","electron transport chain",121,-0.705987293005872,-2.76182568251392,1e-10,1.16320754716981e-08,8.77457795431976e-09,3630,"tags=55%, list=11%, signal=49%","NDUFAF1/NDUFS4/COX6A2/CYTB/UQCRB/COX8A/MDH1/UQCRFS1/COX6C/NDUFS3/NDUFA8/NDUFB8/ETFB/ND2/COX3/PDIA5/COX7A2L/SDHB/NDUFS5/CYC1/COX2/COX1/COX7A2/HCCS/NDUFS8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/GHITM/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/ETFA/PINK1/CCNB1/COX6A1/CDK1/PARK7/NDUFB10/UQCRH/THAP11/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",49,-0.794291175238564,-2.65913735578304,1e-10,1.16320754716981e-08,8.77457795431976e-09,2471,"tags=78%, list=8%, signal=72%","NDUFAB1/ND4/NDUFV1/ND6/ND5/NDUFAF1/NDUFS4/NDUFS3/NDUFA8/NDUFB8/ND2/NDUFS5/NDUFS8/NDUFC2/NDUFA1/NDUFB6/ND3/NDUFB9/SNCA/NDUFS6/NDUFC1/NDUFB1/NDUFB7/NDUFB2/NDUFA7/NDUFB4/NDUFA4/ND4L/NDUFV3/NDUFV2/PINK1/PARK7/NDUFB10/NDUFA2/NDUFA6/ND1/NDUFA3/ISCU"
"GO:0097250","mitochondrial respirasome assembly",81,-0.720973398532555,-2.64756946493659,1e-10,1.16320754716981e-08,8.77457795431976e-09,5118,"tags=58%, list=16%, signal=49%","SCO1/NDUFAB1/ND4/HIGD1C/SURF1/ND6/PET117/HIGD2A/ND5/NDUFAF1/NDUFS4/BCS1L/UQCRFS1/NDUFS3/TMEM126A/NDUFA8/SLC25A33/NDUFB8/ND2/COX7A2L/FXN/NDUFS5/COX7A2/NDUFS8/HIGD1A/NDUFC2/NDUFA1/NDUFB6/TMEM223/TTC19/NDUFB9/NDUFC1/NDUFB1/NDUFB7/NDUFB2/NDUFB4/COX17/NDUFA11/NDUFA13/NDUFB11/NDUFB10/NDUFA2/NDUFA6/ND1/NDUFA3/ECSIT/NDUFAF3"
"GO:0009060","aerobic respiration",162,-0.649215639797887,-2.64119251583422,1e-10,1.16320754716981e-08,8.77457795431976e-09,4142,"tags=52%, list=13%, signal=46%","ND6/ATP6/ND5/ADSL/NDUFAF1/NDUFS4/CS/COX6A2/IDH1/CYTB/UQCRB/COX8A/MDH1/UQCRFS1/COX6C/SHMT2/NDUFS3/NDUFA8/SLC25A33/NDUFB8/COX6B2/ND2/MSH2/COX3/COX7A2L/FXN/SDHB/NDUFS5/CYC1/COX2/COX1/BLOC1S1/COX7A2/NDUFS8/ATP8/NDUFC2/NDUFA1/NDUFB6/COX5A/ND3/UQCRQ/SUCLG1/GHITM/CAT/MFN2/NDUFB9/COX7B/COX5B/SNCA/NDUFS6/NDUFC1/COX7C/NDUFB1/CHCHD2/NDUFB7/IDH2/NDUFB2/NDUFA7/PDHA1/NDUFB4/NDUFA4/ND4L/NDUFA11/NDUFV3/ACO2/NDUFV2/ARL2/PINK1/NDUFA13/CCNB1/COX6A1/STOML2/CDK1/NDUFB11/PARK7/NDUFB10/UQCRH/NDUFA2/NDUFA6/COX6B1/ND1/NDUFA3/UQCR10/UQCR11/ISCU"
"GO:0006779","porphyrin-containing compound biosynthetic process",32,-0.851936192781993,-2.60710499272956,1e-10,1.16320754716981e-08,8.77457795431976e-09,2224,"tags=69%, list=7%, signal=64%","TMEM14C/TMEM14B/TMEM14A/FXN/FLVCR1/CPOX/IBA57/SLC25A39/SLC25A38/ABCB10/ALAS2/ALAD/UROS/SRRD/PGRMC1/SPTA1/ABCB6/SLC6A9/FECH/PPOX/UROD/HMBS"
