"rank","gene","knockout_impact_score","module","description","gene_biotype","chromosome_name","start_position","end_position","go_bp_ids","go_bp_terms","n_go_bp","go_mf_ids","go_mf_terms","n_go_mf","was_uncharacterised","now_annotated"
1,"BTG1",3.21153094343948,"apoptosis","BTG anti-proliferation factor 1","protein_coding","12",92140278,92145846,"GO:0008285; GO:0016477; GO:0006355; GO:0030308; GO:0045766; GO:2000271; GO:0045663; GO:0008283; GO:0006979; GO:0007283; GO:0043434; GO:0045603","negative regulation of cell population proliferation; cell migration; regulation of DNA-templated transcription; negative regulation of cell growth; positive regulation of angiogenesis; positive regulation of fibroblast apoptotic process; positive regulation of myoblast differentiation; cell population proliferation; response to oxidative stress; spermatogenesis; response to peptide hormone; positive regulation of endothelial cell differentiation",12,"GO:0019899; GO:0005515; GO:0019900; GO:0003712","enzyme binding; protein binding; kinase binding; transcription coregulator activity",4,FALSE,FALSE
2,"HIF1A",3.1850688111494,"signalling","hypoxia inducible factor 1 subunit alpha","protein_coding","14",61695456,61748263,"GO:0006355; GO:0071456; GO:0010628; GO:0010468; GO:0001666; GO:0045893; GO:0045944; GO:0006357; GO:0045766; GO:0098586; GO:2000434; GO:0006915; GO:0007405; GO:0030282; GO:0031929; GO:0035773; GO:0051402; GO:0097152; GO:0001525; GO:0001568; GO:0001755; GO:0001892; GO:0001922; GO:0001944; GO:0001947; GO:0002052; GO:0002062; GO:0002067; GO:0002071; GO:0003151; GO:0003208; GO:0006089; GO:0006110; GO:0006879; GO:0006979; GO:0007595; GO:0014850; GO:0016239; GO:0021502; GO:0021987; GO:0030154; GO:0030502; GO:0030949; GO:0032007; GO:0035162; GO:0035774; GO:0042127; GO:0042593; GO:0043066; GO:0043524; GO:0045926; GO:0046716; GO:0048514; GO:0048546; GO:0048593; GO:0051216; GO:0060574; GO:0061030; GO:0061072; GO:0061298; GO:0071542; GO:0097411; GO:2001054; GO:0001837; GO:0002248; GO:0010634; GO:0030279; GO:0032963; GO:0051541; GO:1902895; GO:0001938; GO:0032722; GO:1900017; GO:0001678; GO:1902894; GO:0043536; GO:0010629; GO:1903377; GO:0019896; GO:0007165; GO:0034599; GO:0045821; GO:0000302; GO:0070101; GO:0010039; GO:0071347; GO:0046886; GO:0032909; GO:1904407","regulation of DNA-templated transcription; cellular response to hypoxia; positive regulation of gene expression; regulation of gene expression; response to hypoxia; positive regulation of DNA-templated transcription; positive regulation of transcription by RNA polymerase II; regulation of transcription by RNA polymerase II; positive regulation of angiogenesis; cellular response to virus; regulation of protein neddylation; apoptotic process; neuroblast proliferation; bone mineralization; TOR signaling; insulin secretion involved in cellular response to glucose stimulus; neuron apoptotic process; mesenchymal cell apoptotic process; angiogenesis; blood vessel development; neural crest cell migration; embryonic placenta development; B-1 B cell homeostasis; vasculature development; heart looping; positive regulation of neuroblast proliferation; chondrocyte differentiation; glandular epithelial cell differentiation; glandular epithelial cell maturation; outflow tract morphogenesis; cardiac ventricle morphogenesis; lactate metabolic process; regulation of glycolytic process; intracellular iron ion homeostasis; response to oxidative stress; lactation; response to muscle activity; positive regulation of macroautophagy; neural fold elevation formation; cerebral cortex development; cell differentiation; negative regulation of bone mineralization; positive regulation of vascular endothelial growth factor receptor signaling pathway; negative regulation of TOR signaling; embryonic hemopoiesis; positive regulation of insulin secretion involved in cellular response to glucose stimulus; regulation of cell population proliferation; glucose homeostasis; negative regulation of apoptotic process; negative regulation of neuron apoptotic process; negative regulation of growth; muscle cell cellular homeostasis; blood vessel morphogenesis; digestive tract morphogenesis; camera-type eye morphogenesis; cartilage development; intestinal epithelial cell maturation; epithelial cell differentiation involved in mammary gland alveolus development; iris morphogenesis; retina vasculature development in camera-type eye; dopaminergic neuron differentiation; hypoxia-inducible factor-1alpha signaling pathway; negative regulation of mesenchymal cell apoptotic process; epithelial to mesenchymal transition; connective tissue replacement involved in inflammatory response wound healing; positive regulation of epithelial cell migration; negative regulation of ossification; collagen metabolic process; elastin metabolic process; positive regulation of miRNA transcription; positive regulation of endothelial cell proliferation; positive regulation of chemokine production; positive regulation of cytokine production involved in inflammatory response; intracellular glucose homeostasis; negative regulation of miRNA transcription; positive regulation of blood vessel endothelial cell migration; negative regulation of gene expression; negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway; axonal transport of mitochondrion; signal transduction; cellular response to oxidative stress; positive regulation of glycolytic process; response to reactive oxygen species; positive regulation of chemokine-mediated signaling pathway; response to iron ion; cellular response to interleukin-1; positive regulation of hormone biosynthetic process; regulation of transforming growth factor beta2 production; positive regulation of nitric oxide metabolic process",89,"GO:0005515; GO:0003700; GO:0046983; GO:0019899; GO:0003677; GO:0031625; GO:0000981; GO:0046982; GO:0019901; GO:0000977; GO:0001223; GO:0016922; GO:0000978; GO:0001228; GO:0042826; GO:0043565; GO:0070888; GO:0019904; GO:0061629; GO:0051879; GO:0002039; GO:0000987; GO:0001216; GO:0001222; GO:0001217","protein binding; DNA-binding transcription factor activity; protein dimerization activity; enzyme binding; DNA binding; ubiquitin protein ligase binding; DNA-binding transcription factor activity, RNA polymerase II-specific; protein heterodimerization activity; protein kinase binding; RNA polymerase II transcription regulatory region sequence-specific DNA binding; transcription coactivator binding; nuclear receptor binding; RNA polymerase II cis-regulatory region sequence-specific DNA binding; DNA-binding transcription activator activity, RNA polymerase II-specific; histone deacetylase binding; sequence-specific DNA binding; E-box binding; protein domain specific binding; RNA polymerase II-specific DNA-binding transcription factor binding; Hsp90 protein binding; p53 binding; cis-regulatory region sequence-specific DNA binding; DNA-binding transcription activator activity; transcription corepressor binding; DNA-binding transcription repressor activity",25,FALSE,FALSE
3,"PRF1",3.17982225247854,"immune","perforin 1","protein_coding","10",70596401,70602759,"GO:0001909; GO:0051607; GO:0031640; GO:0001778; GO:0051604; GO:0046513; GO:0051260; GO:0006915; GO:0141201; GO:0006968; GO:0002839; GO:0009306; GO:0001913; GO:0017038; GO:0071806; GO:0001771; GO:0051712","leukocyte mediated cytotoxicity; defense response to virus; killing of cells of another organism; plasma membrane repair; protein maturation; ceramide biosynthetic process; protein homooligomerization; apoptotic process; pyroptotic cell death; cellular defense response; positive regulation of immune response to tumor cell; protein secretion; T cell mediated cytotoxicity; protein import; protein transmembrane transport; immunological synapse formation; positive regulation of killing of cells of another organism",17,"GO:0005509; GO:0140911; GO:0046872; GO:0005515; GO:0042802; GO:0022829","calcium ion binding; pore-forming activity; metal ion binding; protein binding; identical protein binding; wide pore channel activity",6,FALSE,FALSE
4,"RELL1",2.4610099356942,"apoptosis","RELT like 1","protein_coding","4",37590800,37686413,"GO:1900745","positive regulation of p38MAPK cascade",1,"GO:0005515","protein binding",1,FALSE,FALSE
5,"LRRC2",2.41374992359114,"uncharacterised","leucine rich repeat containing 2","protein_coding","3",46515385,46607097,"GO:0035556","intracellular signal transduction",1,"GO:0005515","protein binding",1,TRUE,TRUE
6,"KIAA1257",2.35679504429899,"uncharacterised",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE
7,"UBN1",2.30243359992361,"epigenetic","ubinuclein 1","protein_coding","16",4846665,4882401,"GO:0006325; GO:0006334","chromatin organization; nucleosome assembly",2,"GO:0003677; GO:0005515","DNA binding; protein binding",2,FALSE,FALSE
8,"AKNA",2.28550754681531,"epigenetic","AT-hook transcription factor","protein_coding","9",114334156,114394405,"GO:0007399; GO:0045944; GO:0050727; GO:0001837; GO:0021849; GO:0060232; GO:0060234","nervous system development; positive regulation of transcription by RNA polymerase II; regulation of inflammatory response; epithelial to mesenchymal transition; neuroblast division in subventricular zone; delamination; neuroblast delamination",7,"GO:0003677; GO:0005515","DNA binding; protein binding",2,FALSE,FALSE
9,"PIK3IP1",2.20429572630696,"signalling","phosphoinositide-3-kinase interacting protein 1","protein_coding","22",31281594,31292534,"GO:0051898","negative regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction",1,"GO:0005515; GO:0141039; GO:0004175; GO:0005102","protein binding; phosphatidylinositol 3-kinase inhibitor activity; endopeptidase activity; signaling receptor binding",4,FALSE,FALSE
10,"CHSY1",2.15755626907159,"metabolism","chondroitin sulfate synthase 1","protein_coding","15",101175727,101252048,"GO:0030279; GO:0050650; GO:0002063; GO:0009954; GO:0045880; GO:0051216; GO:0051923; GO:0060349; GO:0031667","negative regulation of ossification; chondroitin sulfate proteoglycan biosynthetic process; chondrocyte development; proximal/distal pattern formation; positive regulation of smoothened signaling pathway; cartilage development; sulfation; bone morphogenesis; response to nutrient levels",9,"GO:0008376; GO:0016740; GO:0046872; GO:0050510; GO:0047238; GO:0016757","acetylgalactosaminyltransferase activity; transferase activity; metal ion binding; N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase activity; glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase activity; glycosyltransferase activity",6,FALSE,FALSE
